gene_id,B1_fpkm_CL,B2_fpkm_CL,B3_fpkm_CL,B4_fpkm_CL,B5_fpkm_CL,B6_fpkm_CL,B7_fpkm_CL,B8_fpkm_CL,B9_fpkm_CL,B10_fpkm_MO,B11_fpkm_MO,B12_fpkm_MO,B13_fpkm_MO,B14_fpkm_MO,B15_fpkm_MO,B16_fpkm_MO,B17_fpkm_MO,B18_fpkm_MO,B19_fpkm_MI,B20_fpkm_MI,B21_fpkm_MI,B22_fpkm_MI,B23_fpkm_MI,B24_fpkm_MI,B25_fpkm_MI,B26_fpkm_MI,B27_fpkm_MI,C1_fpkm_CL,C2_fpkm_CL,C3_fpkm_CL,C4_fpkm_CL,C5_fpkm_CL,C6_fpkm_CL,C7_fpkm_CL,C8_fpkm_CL,C9_fpkm_CL,C10_fpkm_MO,C11_fpkm_MO,C12_fpkm_MO,C13_fpkm_MO,C14_fpkm_MO,C15_fpkm_MO,C16_fpkm_MO,C17_fpkm_MO,C18_fpkm_MO,C19_fpkm_MI,C20_fpkm_MI,C21_fpkm_MI,C22_fpkm_MI,C23_fpkm_MI,C24_fpkm_MI,C25_fpkm_MI,C26_fpkm_MI,C27_fpkm_MI
TMEM26,62.4669766,63.3412219,88.0063291,95.9479626,58.7765833,70.3021505,32.6892326,122.355784,55.9234859,,,,,,,,,,154.72138,133.300173,132.543815,69.0993028,144.824695,91.628578,87.3861677,93.5068333,124.700009,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFAP70,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.66956283,7.25630049,10.7496596,7.32961488,12.1944373,5.23267516,7.28949223,7.69012945,6.99351966,,,,,,,,,,9.09618256,4.98452178,7.08272053,7.249535,4.09538989,6.21953424,5.81395122,4.61671175,4.57090604
FMR1,3.03598014,4.81274684,3.11961258,4.52816381,1.62735622,2.74659481,2.00334465,2.91216645,2.95605085,,,,,,,,,,1.79222,1.32234953,1.56281208,1.66458538,1.15352973,2.10795534,2.27546646,3.86719704,3.73076369,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25.0209076,22.9278934,24.9582397,19.1781152,16.980493,24.4496207,28.6393709,16.5187081,21.9883972,17.105772,26.8067513,14.2581281,22.202349,11.6802114,12.1092234,16.1620298,20.1318905,15.9651262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCCHC24,25.1491121,32.7968115,23.928844,33.5244695,26.9243903,19.9079425,36.1697354,14.6645354,40.4380433,,,,,,,,,,15.9316439,14.3770343,17.4445296,32.0885443,13.4916867,29.9030657,23.3652212,19.6029048,20.3819672,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALD1,6.72728146,5.38786804,8.19519502,11.7617719,3.17047506,7.04403532,5.58700668,11.5171569,4.16176686,,,,,,,,,,13.6372722,15.1780751,9.75015527,5.73762652,19.1122882,8.25195197,8.87813509,8.18952893,14.8747899,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHOBTB1,10.9297571,9.08685202,10.4778448,9.65244967,13.1823472,10.0032656,11.4774447,9.19931552,12.4250173,9.95931674,18.6339127,16.1814007,11.7753402,13.2715694,11.0585135,13.7768084,11.7526224,12.4006963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAPA,4.77589891,5.73042036,5.97979901,5.95078411,5.08132895,6.22002059,5.38920899,8.15799961,5.36006026,6.49265674,5.67444251,6.73587055,5.98826338,6.91855192,7.15187453,6.13016642,7.29129362,7.45041209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70.8615982,71.4275204,104.683249,114.289388,92.02359,75.3120499,41.0940527,93.056201,71.2045792,28.997418,87.1368479,62.3543808,87.606662,63.1818589,38.7807138,58.2834378,59.3986075,44.1452097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,675.367915,629.746806,646.637192,427.282399,763.069404,529.437385,772.164404,408.185269,601.418171,,,,,,,,,,369.716127,451.810685,411.054119,489.899466,367.434527,520.647048,513.459883,565.873879,488.110803,,,,,,,,,,,,,,,,,,,,,,,,,,,
